CloseDate,EntryDate,Symbol,AssetClass,TradeType,RealizedPnL,BaseNav,CapitalAtRisk
2025-01-04,2024-12-13,SPY,OPT,Short Put Spread,464.2,100464.2,5000.0
2025-01-05,2024-12-15,SPY,OPT,Short Put Spread,558.62,101022.82,5023.21
2025-01-08,2024-12-17,SPY,OPT,Short Put Spread,522.08,101544.91,5051.14
2025-01-11,2024-12-16,SPY,OPT,Short Put Spread,750.89,102295.8,5077.25
2025-01-13,2024-12-25,SPY,OPT,Short Put Spread,474.28,102770.08,5114.79
2025-01-14,2024-12-19,SPY,OPT,Short Put Spread,599.83,103369.92,5138.5
2025-01-15,2024-12-22,SPY,OPT,Short Put Spread,634.84,104004.76,5168.5
2025-01-18,2025-01-01,SPY,OPT,Short Put Spread,701.84,104706.6,5200.24
2025-01-21,2025-01-02,SPY,OPT,Short Put Spread,-2582.86,102123.73,5235.33
2025-01-24,2025-01-08,SPY,OPT,Short Put Spread,569.52,102693.25,5106.19
2025-01-25,2025-01-02,SPY,OPT,Short Put Spread,-2884.03,99809.22,5134.66
2025-01-27,2024-12-29,SPY,OPT,Short Put Spread,638.26,100447.48,4990.46
2025-01-30,2025-01-13,SPY,OPT,Short Put Spread,694.71,101142.19,5022.37
2025-02-01,2025-01-14,SPY,OPT,Short Put Spread,469.08,101611.27,5057.11
2025-02-03,2025-01-16,SPY,OPT,Short Put Spread,480.4,102091.67,5080.56
2025-02-05,2025-01-10,SPY,OPT,Short Put Spread,709.33,102801.0,5104.58
2025-02-07,2025-01-09,SPY,OPT,Short Put Spread,744.62,103545.62,5140.05
2025-02-10,2025-01-18,SPY,OPT,Short Put Spread,485.21,104030.83,5177.28
2025-02-12,2025-01-27,SPY,OPT,Short Put Spread,557.64,104588.47,5201.54
2025-02-15,2025-01-20,SPY,OPT,Short Put Spread,548.95,105137.42,5229.42
2025-02-16,2025-02-01,SPY,OPT,Short Put Spread,715.74,105853.16,5256.87
2025-02-17,2025-01-22,SPY,OPT,Short Put Spread,-2934.51,102918.66,5292.66
2025-02-20,2025-02-03,SPY,OPT,Short Put Spread,666.3,103584.95,5145.93
2025-02-23,2025-02-02,SPY,OPT,Short Put Spread,441.18,104026.14,5179.25
2025-02-25,2025-02-03,SPY,OPT,Short Put Spread,730.35,104756.49,5201.31
2025-02-27,2025-01-30,SPY,OPT,Short Put Spread,554.99,105311.47,5237.82
2025-02-28,2025-02-03,SPY,OPT,Short Put Spread,656.24,105967.72,5265.57
2025-03-03,2025-02-03,SPY,OPT,Short Put Spread,468.23,106435.94,5298.39
2025-03-06,2025-02-05,SPY,OPT,Short Put Spread,634.83,107070.78,5321.8
2025-03-08,2025-02-07,SPY,OPT,Short Put Spread,624.18,107694.95,5353.54
2025-03-10,2025-02-09,SPY,OPT,Short Put Spread,471.45,108166.4,5384.75
2025-03-13,2025-02-23,SPY,OPT,Short Put Spread,645.91,108812.31,5408.32
2025-03-15,2025-02-14,SPY,OPT,Short Put Spread,665.44,109477.75,5440.62
2025-03-18,2025-02-25,SPY,OPT,Short Put Spread,799.19,110276.94,5473.89
2025-03-21,2025-02-25,SPY,OPT,Short Put Spread,780.94,111057.88,5513.85
2025-03-22,2025-02-24,SPY,OPT,Short Put Spread,485.24,111543.12,5552.89
2025-03-24,2025-03-03,SPY,OPT,Short Put Spread,-2592.65,108950.47,5577.16
2025-03-25,2025-03-02,SPY,OPT,Short Put Spread,477.77,109428.24,5447.52
2025-03-28,2025-03-05,SPY,OPT,Short Put Spread,751.01,110179.25,5471.41
2025-03-31,2025-03-08,SPY,OPT,Short Put Spread,637.68,110816.92,5508.96
2025-04-02,2025-03-07,SPY,OPT,Short Put Spread,489.76,111306.68,5540.85
2025-04-05,2025-03-14,SPY,OPT,Short Put Spread,530.45,111837.13,5565.33
2025-04-06,2025-03-13,SPY,OPT,Short Put Spread,472.75,112309.88,5591.86
2025-04-08,2025-03-20,SPY,OPT,Short Put Spread,729.22,113039.1,5615.49
2025-04-09,2025-03-24,SPY,OPT,Short Put Spread,-2562.35,110476.76,5651.96
2025-04-11,2025-03-27,SPY,OPT,Short Put Spread,454.69,110931.44,5523.84
2025-04-12,2025-03-17,SPY,OPT,Short Put Spread,499.98,111431.43,5546.57
2025-04-14,2025-03-27,SPY,OPT,Short Put Spread,-2498.35,108933.07,5571.57
2025-04-17,2025-03-19,SPY,OPT,Short Put Spread,526.34,109459.41,5446.65
2025-04-19,2025-03-30,SPY,OPT,Short Put Spread,680.08,110139.49,5472.97
2025-04-21,2025-04-06,SPY,OPT,Short Put Spread,475.36,110614.85,5506.97
2025-04-22,2025-03-26,SPY,OPT,Short Put Spread,514.67,111129.52,5530.74
2025-04-25,2025-04-08,SPY,OPT,Short Put Spread,708.06,111837.58,5556.48
2025-04-27,2025-04-06,SPY,OPT,Short Put Spread,536.01,112373.59,5591.88
2025-04-28,2025-04-12,SPY,OPT,Short Put Spread,601.6,112975.19,5618.68
2025-04-29,2025-04-13,SPY,OPT,Short Put Spread,742.61,113717.8,5648.76
2025-05-02,2025-04-11,SPY,OPT,Short Put Spread,731.8,114449.6,5685.89
2025-05-04,2025-04-19,SPY,OPT,Short Put Spread,-2880.28,111569.32,5722.48
2025-05-06,2025-04-17,SPY,OPT,Short Put Spread,-3308.5,108260.83,5578.47
2025-05-07,2025-04-14,SPY,OPT,Short Put Spread,-2369.51,105891.31,5413.04
2025-05-10,2025-04-22,SPY,OPT,Short Put Spread,737.35,106628.67,5294.57
2025-05-12,2025-04-17,SPY,OPT,Short Put Spread,666.12,107294.79,5331.43
2025-05-13,2025-04-25,SPY,OPT,Short Put Spread,766.61,108061.4,5364.74
2025-05-15,2025-04-28,SPY,OPT,Short Put Spread,470.62,108532.03,5403.07
2025-05-16,2025-04-30,SPY,OPT,Short Put Spread,495.21,109027.24,5426.6
2025-05-18,2025-04-25,SPY,OPT,Short Put Spread,684.89,109712.13,5451.36
2025-05-19,2025-05-01,SPY,OPT,Short Put Spread,628.5,110340.63,5485.61
2025-05-22,2025-04-26,SPY,OPT,Short Put Spread,560.33,110900.97,5517.03
2025-05-25,2025-04-27,SPY,OPT,Short Put Spread,546.54,111447.51,5545.05
2025-05-27,2025-05-07,SPY,OPT,Short Put Spread,-2667.05,108780.46,5572.38
2025-05-30,2025-05-15,SPY,OPT,Short Put Spread,568.41,109348.87,5439.02
2025-06-02,2025-05-06,SPY,OPT,Short Put Spread,512.12,109860.99,5467.44
2025-06-05,2025-05-21,SPY,OPT,Short Put Spread,734.96,110595.95,5493.05
2025-06-07,2025-05-21,SPY,OPT,Short Put Spread,-3223.72,107372.23,5529.8
2025-06-08,2025-05-11,SPY,OPT,Short Put Spread,-2502.58,104869.65,5368.61
2025-06-09,2025-05-22,SPY,OPT,Short Put Spread,779.3,105648.96,5243.48
2025-06-12,2025-05-28,SPY,OPT,Short Put Spread,493.19,106142.14,5282.45
2025-06-15,2025-05-17,SPY,OPT,Short Put Spread,631.42,106773.56,5307.11
2025-06-17,2025-05-26,SPY,OPT,Short Put Spread,640.13,107413.69,5338.68
2025-06-19,2025-06-03,SPY,OPT,Short Put Spread,801.86,108215.56,5370.68
2025-06-22,2025-06-07,SPY,OPT,Short Put Spread,765.17,108980.73,5410.78
2025-06-23,2025-06-02,SPY,OPT,Short Put Spread,706.32,109687.05,5449.04
2025-06-24,2025-06-08,SPY,OPT,Short Put Spread,599.9,110286.96,5484.35
2025-06-25,2025-06-04,SPY,OPT,Short Put Spread,472.64,110759.6,5514.35
2025-06-26,2025-06-04,SPY,OPT,Short Put Spread,518.35,111277.95,5537.98
2025-06-28,2025-06-07,SPY,OPT,Short Put Spread,791.74,112069.7,5563.9
2025-07-01,2025-06-10,SPY,OPT,Short Put Spread,485.14,112554.84,5603.48
2025-07-04,2025-06-05,SPY,OPT,Short Put Spread,633.64,113188.48,5627.74
2025-07-06,2025-06-16,SPY,OPT,Short Put Spread,686.82,113875.29,5659.42
2025-07-07,2025-06-17,SPY,OPT,Short Put Spread,783.36,114658.65,5693.76
2025-07-10,2025-06-21,SPY,OPT,Short Put Spread,668.21,115326.87,5732.93
2025-07-11,2025-06-23,SPY,OPT,Short Put Spread,801.19,116128.05,5766.34
2025-07-13,2025-06-25,SPY,OPT,Short Put Spread,723.59,116851.65,5806.4
2025-07-14,2025-06-27,SPY,OPT,Short Put Spread,-3172.05,113679.6,5842.58
2025-07-15,2025-06-21,SPY,OPT,Short Put Spread,627.21,114306.81,5683.98
2025-07-18,2025-06-20,SPY,OPT,Short Put Spread,530.97,114837.78,5715.34
2025-07-21,2025-07-06,SPY,OPT,Short Put Spread,736.08,115573.86,5741.89
2025-07-23,2025-06-25,SPY,OPT,Short Put Spread,-2822.72,112751.14,5778.69
2025-07-25,2025-07-06,SPY,OPT,Short Put Spread,711.54,113462.68,5637.56
2025-07-26,2025-06-27,SPY,OPT,Short Put Spread,-3106.49,110356.19,5673.13
